NMec	Computador
47468	l230214-ws11
60008	l230214-ws01
64354	l230211-ws14
68181	l230214-ws11
68698	l230214-ws03
71904	l230210-ws11
72783	l230210-ws01
73001	l230210-ws06
74484	l230214-ws01
75762	l230213-ws06
76442	l230213-ws06
77151	l230210-ws08
78649	l230211-ws13
79405	l230214-ws06
79890	l230210-ws10
79989	l230210-ws05
79996	l230211-ws02
80000	l230210-ws04
80019	l230211-ws04
80022	l230211-ws04
80075	l230210-ws04
80091	l230211-ws05
80130	l230214-ws03
80187	l230210-ws02
80190	l230214-ws06
80248	l230211-ws02
80271	l230210-ws03
80509	l230210-ws07
80535	l230210-ws12
80549	l230210-ws12
80632	l230210-ws07
80766	l230210-ws08
80773	l230210-ws05
81020	l230211-ws10
81681	l230210-ws03
83172	l230205-ws02
83896	l040106-ws09
84605	l230214-ws14
84667	l230214-ws09
84672	l230210-ws14
84674	l230211-ws14
84677	l230210-ws10
84688	l230210-ws13
84712	l230214-ws09
84718	l230210-ws09
84720	l230210-ws09
84739	l230208-ws05
84740	l230208-ws05
84754	l230208-ws01
84756	l230211-ws06
84758	l230211-ws08
84768	l230208-ws11
84792	l230208-ws09
84826	l230214-ws13
84852	l230208-ws04
84881	l230214-ws07
84882	l230210-ws02
84894	l230208-ws08
84895	l230208-ws11
84898	l230208-ws14
84907	l230208-ws12
84911	l230210-ws13
84927	l230210-ws14
84941	l230208-ws13
84950	l230208-ws12
84953	l230214-ws12
84977	l230211-ws06
84983	l230213-ws04
85015	l230208-ws10
85016	l230208-ws09
85019	l230214-ws08
85023	l230208-ws10
85045	l230208-ws04
85057	l230214-ws07
85059	l230214-ws08
85061	l230214-ws12
85085	l230204-ws07
85088	l230208-ws01
85101	l230214-ws13
85123	l230214-ws02
85145	l230208-ws14
85276	l230208-ws07
85295	l230208-ws07
85514	l230208-ws06
85577	l230208-ws02
85628	l230210-ws11
85666	l230211-ws13
87874	l040106-ws06
87877	l230214-ws14
88164	l040106-ws11
88729	l230207-ws02
88734	l230210-ws01
88736	l230207-ws06
88742	l230207-ws09
88744	l230214-ws05
88747	l230204-ws09
88749	l230207-ws14
88750	l230213-ws03
88753	l230207-ws03
88755	l230207-ws11
88768	l230207-ws02
88771	l040104-ws07
88778	l040106-ws05
88783	l230207-ws05
88789	l230207-ws13
88794	l230211-ws03
88802	l230207-ws12
88803	l230207-ws04
88804	l040106-ws12
88811	l230207-ws10
88812	l230207-ws08
88823	l230207-ws01
88826	l040106-ws10
88827	l230207-ws05
88847	l230214-ws10
88852	l040106-ws01
88856	l230207-ws07
88857	l230214-ws02
88858	l230207-ws03
88859	l230213-ws07
88861	l040106-ws08
88867	l040106-ws04
88868	l230204-ws04
88870	l230214-ws05
88871	l040106-ws04
88881	l040106-ws14
88882	l040106-ws14
88896	l040106-ws08
88902	l040106-ws05
88904	l040106-ws06
88906	l040106-ws03
88911	l230211-ws07
88919	l230204-ws02
88930	l040106-ws12
88932	l230213-ws06
88934	l040106-ws11
88936	l040106-ws01
88941	l230211-ws09
88942	l230207-ws13
88960	l040104-ws06
88963	l040104-ws04
88964	l040106-ws07
88970	l040106-ws10
88990	l230214-ws10
88996	l040104-ws08
88998	l230213-ws03
89003	l040106-ws09
89007	l040104-ws01
89020	l040104-ws04
89027	l230207-ws04
89029	l040104-ws12
89031	l230205-ws09
89064	l230205-ws10
89077	l040104-ws09
89081	l230211-ws01
89082	l230205-ws08
89112	l230205-ws02
89119	l040104-ws03
89123	l040104-ws03
89131	l230211-ws07
89134	l230204-ws08
89140	l040104-ws02
89147	l040104-ws14
89149	l230207-ws11
89151	l040104-ws10
89157	l040104-ws08
89162	l040104-ws14
89164	l230207-ws14
89172	l230205-ws06
89179	l040104-ws06
89180	l040104-ws13
89185	l040104-ws07
89187	l040104-ws13
89189	l040106-ws03
89194	l230205-ws04
89195	l230205-ws07
89205	l230207-ws07
89208	l230205-ws06
89212	l040104-ws10
89221	l040104-ws01
89222	l230207-ws08
89227	l230205-ws08
89228	l230211-ws08
89231	l230205-ws03
89241	l230205-ws07
89243	l230208-ws13
89249	l230207-ws09
89261	l230211-ws09
89264	l230205-ws04
89273	l230211-ws03
89276	l230204-ws10
89277	l230205-ws03
89278	l230205-ws09
89280	l230205-ws10
89285	l230205-ws11
89286	l230207-ws10
89288	l040104-ws09
89290	l040104-ws02
89293	l230207-ws01
89297	l230207-ws12
89298	l230208-ws08
89304	l230205-ws11
89311	l230211-ws05
89315	l230204-ws09
89333	l230211-ws11
89357	l040106-ws07
89824	l230204-ws12
89825	l230204-ws11
89827	l230204-ws06
89833	l230210-ws06
89853	l230204-ws07
89908	l230204-ws03
89963	l230204-ws06
89970	l230204-ws12
89991	l230211-ws01
90010	l230211-ws10
90040	l230204-ws11
90063	l230211-ws11
90074	l230208-ws02
90246	l230204-ws02
90273	l230213-ws07
90317	l230207-ws06
90327	l230204-ws04
90331	l230204-ws10
90339	l230204-ws03
90367	l040104-ws12
90480	l230204-ws05
90487	l230204-ws08
90513	l230204-ws05
90533	l230208-ws06
89302	l040106-ws06
