0 11 968 10 1296
1 5 502 2 248
2 11 1024 12 1290
3 10 882 8 958
4 9 758 8 866
5 0 0 0 0
6 1 68 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 65 7406 79 52063
13 589 31633 614 893242
14 349 26397 354 477195
15 76 5936 150 194129
16 35 2883 50 59602
17 15 2603 14 5209
18 6 447 10 9110
19 27 1788 42 53998
20 1 52 1 117
21 1 52 1 103
22 4 278 4 300
23 0 0 0 0
24 0 0 0 0
25 1 52 1 97
26 33 4936 77 102075
27 12 1030 16 14504
28 0 0 0 0
29 8 4446 8 856
30 3 191 3 259
31 1 52 1 101
32 2 139 1 92
33 0 0 1 52
34 1 52 1 94
35 2 139 2 161
36 1 52 1 95
37 2 104 2 189
38 3 191 3 245
39 0 0 0 0
40 2 139 2 148
41 2 104 2 195
42 0 0 0 0
43 4 243 4 342
44 7 1325 5 951
45 2 139 1 95
46 0 0 1 52
47 0 0 0 0
48 4 611 5 493
49 24 2907 22 6046
50 2 104 2 190
51 3 191 3 259
52 2 104 2 223
53 2 104 2 206
54 2 139 2 148
55 2 104 2 190
56 2 139 2 148
57 2 104 2 191
58 7 724 9 659
59 7 591 7 596
60 2 104 2 189
61 0 0 0 0
62 0 0 0 0
63 4 243 4 294
64 3 191 3 241
65 2 104 2 213
66 0 0 0 0
67 1 52 1 92
68 2 139 2 149
69 3 191 3 245
70 2 104 2 193
71 2 104 2 147
72 3 156 3 281
73 0 0 0 0
74 10 1516 9 1277
75 2 139 2 147
76 1 52 1 109
77 1 52 1 95
78 2 1467 1 52
79 53 4065 114 145271
80 0 0 0 0
81 2 139 2 149
82 2 296 2 104
83 2 104 2 336
84 3 521 3 346
85 3 191 3 239
86 1 52 1 95
87 0 0 0 0
88 0 0 0 0
89 0 0 0 0
90 0 0 0 0
91 3 226 3 199
92 7 768 9 2980
93 3 395 3 896
94 1 52 1 96
95 2 104 2 221
96 4 278 4 294
97 0 0 0 0
98 0 0 0 0
99 2 104 2 194
100 0 0 0 0
101 2 120 1 95
102 0 0 0 0
103 3 226 3 198
104 10 1481 8 1123
105 0 0 1 52
106 0 0 0 0
107 2 104 2 190
108 1 52 0 0
109 0 0 1 52
110 3 226 3 199
111 0 0 0 0
112 0 0 0 0
113 2 104 2 189
114 2 104 2 187
115 0 0 0 0
116 3 226 3 199
117 2 1048 2 104
118 1 52 2 433
119 1 200 0 0
120 1 200 0 0
121 3 226 4 294
122 1 200 0 0
123 1 200 0 0
124 1 52 1 52
125 3 156 3 285
126 0 0 0 0
127 0 0 0 0
128 4 278 4 292
129 0 0 0 0
130 0 0 0 0
131 1 52 1 95
132 1 52 1 94
133 5 330 5 402
134 7 1325 6 983
135 0 0 0 0
136 0 0 0 0
137 1 52 1 52
138 0 0 0 0
139 3 226 3 196
140 0 0 0 0
141 3 136 2 191
142 13 4503 14 2091
143 17 1947 18 15630
144 6 1015 5 1791
145 2 139 3 199
146 1 52 1 109
147 0 0 0 0
148 0 0 0 0
149 1 52 1 95
150 4 278 5 347
151 0 0 0 0
152 0 0 0 0
153 9 1788 9 7624
154 7 690 6 1442
155 7 586 9 3089
156 8 1045 11 5251
157 0 0 0 0
158 2 139 2 144
159 4 400 4 441
160 3 191 3 242
161 0 0 0 0
162 0 0 0 0
163 0 0 0 0
164 8 1571 8 1368
165 6 574 5 493
166 0 0 1 52
167 0 0 0 0
168 0 0 0 0
169 2 340 0 0
170 3 191 5 490
171 0 0 0 0
172 0 0 0 0
173 3 383 4 394
174 0 0 0 0
175 0 0 0 0
176 0 0 0 0
177 0 0 0 0
178 0 0 0 0
179 0 0 0 0
180 0 0 0 0
181 0 0 0 0
182 0 0 0 0
183 9 1812 9 6436
184 5 791 5 1040
185 0 0 0 0
186 0 0 0 0
187 0 0 0 0
188 0 0 0 0
189 0 0 0 0
190 0 0 0 0
191 0 0 0 0
192 0 0 0 0
193 8 746 8 1139
194 11 1893 9 1424
195 4 608 2 144
196 1 52 3 346
197 1 52 1 52
198 0 0 0 0
199 1 52 1 52
200 7 493 6 646
201 0 0 0 0
202 0 0 0 0
203 1 52 1 52
204 2 384 2 104
205 10 1977 9 5036
206 5 702 5 711
207 3 389 3 342
208 2 296 2 104
209 3 524 3 319
210 2 139 2 290
211 0 0 0 0
212 0 0 0 0
213 3 436 3 346
214 12 3199 13 1272
215 13 2215 12 9537
216 4 400 5 489
217 3 1144 3 199
218 1 52 1 242
219 0 0 0 0
220 2 139 2 150
221 5 616 5 1043
222 0 0 0 0
223 0 0 0 0
224 9 1803 8 1371
225 15 1571 20 8296
